약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
IPDPS,우수,2,O,,우수,0.50,IEEE International Parallel and Distributed Processing Symposium (IPDPS),conf/ipps
IPMI,,,,,우수,0.10,Information Processing in Medical Imaging (IPMI),conf/ipmi
IPSN,우수,3,O,O,우수,0.75,International Symposium on Information Processing in Sensor Networks (IPSN),conf/ipsn
IROS,,,,,우수,0.10,IEEE/RJS International Conference on Intelligent RObots and Systems (IROS),conf/iros
ISAAC,우수,1,,,우수,0.25,International Symposium on Algorithms and Computation (ISAAC),conf/isaac
ISBI,,,,,우수,0.10,IEEE International Symposium on Biomedical Imaging (ISBI),conf/isbi
ISCA,최우수,4,O,O,최우수,1.00,International Symposium on Computer Architecture (ISCA),conf/isca
ISIT,,,,,우수,0.10,International Symposium on Information Theory (ISIT),conf/isit
ISLPED,우수,1,,,우수,0.25,International Symposium on Low Power Electronics and Design (ISLPED),conf/islped
ISMAR,최우수,1,,,우수,0.35,International Symposium on Mixed and Augmented Reality (ISMAR),conf/ismar
ISMB,최우수,1,O,O,,0.65,Intelligent Systems in Molecular Biology (ISMB),conf/ismb
ISPASS,우수,1,,,우수,0.25,IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),conf/ispass
ISSRE,우수,1,,,우수,0.25,IEEE International Symposium on Software Reliability Engineering (ISSRE),conf/issre
ISSTA,최우수,2,,,최우수,0.50,International Symposium on Software Testing and Analysis (ISSTA),conf/issta
ISWC,우수,2,O,,우수,0.50,International Semantic Web Conference (ISWC),conf/semweb
ITS,,1,,,,0.05,International Conference on Augmented Intelligence and Intelligent Tutoring Systems (ITS),conf/its
IUI,우수,2,,,우수,0.30,International Conference on Intelligent User Interfaces (IUI),conf/iui
KDD,최우수,4,O,O,최우수,1.00,ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD),conf/kdd
KR,,3,,O,,0.35,International Conference on Principles of Knowledge Representation and Reasoning (KR),conf/kr
LCTES,우수,2,,,우수,0.30,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems (LCTES)",conf/lctrts
LICS,최우수,3,,O,최우수,0.75,ACM/IEEE Symposium on Logic in Computer Science (LICS),conf/lics
